File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\cjswo\workspace\SE\src\manager\ManagerProject.java,26,18,16,0,8,0,0,0,0,0
C:\Users\cjswo\workspace\SE\src\member\BacklogPanel.java,80,62,58,0,15,0,3,3,0,0
C:\Users\cjswo\workspace\SE\src\member\BoardPanel.java,53,43,40,1,10,0,0,0,0,0
C:\Users\cjswo\workspace\SE\src\member\MemberProject.java,51,36,33,0,15,0,0,0,0,0
C:\Users\cjswo\workspace\SE\src\member\ProjectMainPanel.java,150,119,109,2,20,1,11,30,0,0
C:\Users\cjswo\workspace\SE\src\member\Schedule.java,18,13,11,0,5,0,0,0,0,0
C:\Users\cjswo\workspace\SE\src\member\SchedulePanel.java,217,175,159,11,29,0,13,30,0,0
C:\Users\cjswo\workspace\SE\src\project\CreateProject.java,101,82,78,1,19,0,0,0,0,0
C:\Users\cjswo\workspace\SE\src\project\DnDUtil.java,82,68,53,5,10,0,4,8,0,0
C:\Users\cjswo\workspace\SE\src\project\JoinProject.java,84,68,62,2,16,0,0,0,0,0
C:\Users\cjswo\workspace\SE\src\project\ProjectList.java,202,163,148,3,30,10,9,33,0,0
C:\Users\cjswo\workspace\SE\src\user\IDPWSearch.java,133,108,101,1,18,1,7,16,0,0
C:\Users\cjswo\workspace\SE\src\user\Login.java,135,119,102,8,12,1,4,8,0,0
C:\Users\cjswo\workspace\SE\src\user\Main.java,24,19,16,0,5,1,0,2,0,0
C:\Users\cjswo\workspace\SE\src\user\PWSearch.java,93,71,65,1,15,1,7,15,0,0
C:\Users\cjswo\workspace\SE\src\user\Register.java,222,184,167,4,38,2,0,4,0,0
C:\Users\cjswo\workspace\SE\src\user\SubFrame.java,79,61,47,1,17,4,1,9,0,0
